Designator,Footprint,Quantity,Value,LCSC Part #
SW2,SW_5-1437565-0,1,SW_Push,
R1,R_0805_2012Metric,1,150,
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
D3,LED_0805_2012Metric,1,LED,
SW4,SW_5-1437565-0,1,SW_Push,
R4,R_0805_2012Metric,1,150,
SW3,SW_5-1437565-0,1,SW_Push,
D2,LED_0805_2012Metric,1,LED,
SW1,SW_5-1437565-0,1,SW_Push,
D1,LED_0805_2012Metric,1,LED,
R3,R_0805_2012Metric,1,150,
D4,LED_0805_2012Metric,1,LED,
R2,R_0805_2012Metric,1,150,
J1,BAT_BS-7,1,Bateria,
SW5,SW_SPDT_CK-JS102011SAQN,1,SW_SPDT,
U1,SOIC-8W_5.3x5.3mm_P1.27mm,1,ATtiny85-20S,
